ID,LABEL,MORSE
37,I LIKED IT SO MUCH I SOLD MY TS580 AFTER IT WAS REPAIRED,.. ._..|..|_._|.|._. ..|_ ...|___ __|.._|_._.|.... .. ...|___|._..|._. __|_.__ _|...|.....|___..|_____ ._|.._.|_|.|._. ..|_ .__|._|... ._.|.|.__.|._|..|._.|.|._.
38,BN USING ELECRAFT EVER SINCE ,_...|_. .._|...|..|_.|__. .|._..|.|_._.|._.|._|.._.|_ .|..._|.|._. ...|..|_.|_._.|.| 
39,FB ON UR WORK INFO BT I WORK IN THE SEMICONDUCTOR INDUSTRY,.._.|_... ___|_. .._|._. .__|___|._.|_._ ..|_.|.._.|___ _...|_ .. .__|___|._.|_._ ..|_. _|....|. ...|.|__|..|_._.|___|_.|._.|.._|_._.|_|___|._. ..|_.|._.|.._|...|_|._.|_.__
44,THAT SOUNDS LIKE A GOOD DEAR TO ME AND IF I EVER DOIT I WILL THINK OF GOING ET THAT WAY,_|....|._|_ ...|___|.._|_.|._.|... ._..|..|_._|. ._ __.|___|___|._. ._.|.|._|._. _|___ __|. ._|_.|._. ..|.._. .. .|..._|.|._. ._.|___|..|_ .. .__|..|._..|._.. _|....|..|_.|_._ ___|.._. __.|___|..|_.|__. .|_ _|....|._|_ .__|._|_.__
47,OK HOWARD TNX FOR SHOP NGUP AND I THINK I CAN BE AROUND TMW 73 FOR NOW WA1CFX DE WR1C K ,___|_._ ....|___|.__|._|._.|._. _|_.|_.._ .._.|___|._. ...|....|___|.__. _.|__.|.._|.__. ._|_.|._. .. _|....|..|_.|_._ .. _._.|._|_. _...|. ._|._.|___|.._|_.|._. _|__|.__ __...|...__ .._.|___|._. _.|___|.__ .__|._|.____|_._.|.._.|_.._ ._.|. .__|._.|.____|_._. _._| 
50,RR JIM CO N4BP W8FW W9RE BOB FL TU N4BP # N1 # N1AM BOB FL TU N4BP W7FW #7 W7FW W7FW BOB FL TNX AD AZ ? AD NAME? AD AZ TU N4BP,._.|._. .___|..|__ _._.|___ _.|...._|_...|.__. .__|___..|.._.|.__ .__|____.|._.|. _...|___|_... .._.|._.. _|.._ _.|...._|_...|.__. _.|.____ _.|.____|._|__ _...|___|_... .._.|._.. _|.._ _.|...._|_...|.__. .__|__...|.._.|.__ __... .__|__...|.._.|.__ .__|__...|.._.|.__ _...|___|_... .._.|._.. _|_.|_.._ ._|._. ._|__.. ..__.. ._|._. _.|._|__|.|..__.. ._|._. ._|__.. _|.._ _.|...._|_...|.__.
52,CQ NA K4LTA K4LTA NA CQ NA K4LTA K4LTA NA AE6Q AE6Y AE6Y BILL TN TU N# CA 73 K4LTA NA ,_._.|__._ _.|._ _._|...._|._..|_|._ _._|...._|._..|_|._ _.|._ _._.|__._ _.|._ _._|...._|._..|_|._ _._|...._|._..|_|._ _.|._ ._|.|_....|__._ ._|.|_....|_.__ ._|.|_....|_.__ _...|..|._..|._.. _|_. _|.._ _. _._.|._ __...|...__ _._|...._|._..|_|._ _.|._| 
57,TRANSMITTERS FROM THE 50S AND 60S REQUIRE SEVERAL VOLTS PEAK TO PEAK P P OF,_|._.|._|_.|...|__|..|_|_|.|._.|... .._.|._.|___|__ _|....|. .....|_____|... ._|_.|._. _....|_____|... ._.|.|__._|.._|..|._.|. ...|.|..._|.|._.|._|._.. ..._|___|._..|_|... .__.|.|._|_._ _|___ .__.|.|._|_._ .__. .__. ___|.._.
60,POPULAR DIGITAL MODES FOR EMERGENCY COMMUNICATIONS NBEMS NARROW BAND,.__.|___|.__.|.._|._..|._|._. ._.|..|__.|..|_|._|._.. __|___|._.|.|... .._.|___|._. .|__|.|._.|__.|.|_.|_._.|_.__ _._.|___|__|__|.._|_.|..|_._.|._|_|..|___|_.|... _.|_...|.|__|... _.|._|._.|._.|___|.__ _...|._|_.|._.
63,SHOWS THE DDS BOARD BUFFER AMPLIFIER AND KEYING INPUT. I WANTED TO USE,...|....|___|.__|... _|....|. ._.|._.|... _...|___|._|._.|._. _...|.._|.._.|.._.|.|._. ._|__|.__.|._..|..|.._.|..|.|._. ._|_.|._. _._|.|_.__|..|_.|__. ..|_.|.__.|.._|_|._._._ .. .__|._|_.|_|.|._. _|___ .._|...|.
65,PERSPECTIVE. THE FIRST FEW CHAPTERS CONCERN THE BASIS AND PURPOSE OF,.__.|.|._.|...|.__.|.|_._.|_|..|..._|.|._._._ _|....|. .._.|..|._.|...|_ .._.|.|.__ _._.|....|._|.__.|_|.|._.|... _._.|___|_.|_._.|.|._.|_. _|....|. _...|._|...|..|... ._|_.|._. .__.|.._|._.|.__.|___|...|. ___|.._.
70,IS COMPRISED OF 12 16 STRANDED WIRES EACH 24 FEET 4 INCHES 8 METERS LONG,..|... _._.|___|__|.__.|._.|..|...|.|._. ___|.._. .____|..___ .____|_.... ...|_|._.|._|_.|._.|.|._. .__|..|._.|.|... .|._|_._.|.... ..___|...._ .._.|.|.|_ ...._ ..|_.|_._.|....|.|... ___.. __|.|_|.|._.|... ._..|___|_.|__.
72,XCLDG. PRTISG CFC1ZG GEA/QN 59UN8X /2R154 IZ4QAN HGTI TI2GIE,_.._|_._.|._..|._.|__.|._._._ .__.|._.|_|..|...|__. _._.|.._.|_._.|.____|__..|__. __.|.|._|_.._.|__._|_. .....|____.|.._|_.|___..|_.._ _.._.|..___|._.|.____|.....|...._ ..|__..|...._|__._|._|_. ....|__.|_|.. _|..|..___|__.|..|.
81,28SK IRXX AUXG 23Z5 ZGBB M161 AAX0XL EIT FOT3,..___|___..|...|_._ ..|._.|_.._|_.._ ._|.._|_.._|__. ..___|...__|__..|..... __..|__.|_...|_... __|.____|_....|.____ ._|._|_.._|_____|_.._|._.. .|..|_ .._.|___|_|...__
89,AND EFFECTIVELY ON THE DISASTER SCENE.  THE UBIQUITOUS INCIDENT COMMAND,._|_.|._. .|.._.|.._.|.|_._.|_|..|..._|.|._..|_.__ ___|_. _|....|. ._.|..|...|._|...|_|.|._. ...|_._.|.|_.|.|._._._ _|....|. .._|_...|..|__._|.._|..|_|___|.._|... ..|_.|_._.|..|._.|.|_.|_ _._.|___|__|__|._|_.|._.
93,SETTING THE VFO.  WITH THE TRANSMITTER OUTPUT CONNECTED TO A DUMMY LOAD,...|.|_|_|..|_.|__. _|....|. ..._|.._.|___|._._._ .__|..|_|.... _|....|. _|._.|._|_.|...|__|..|_|_|.|._. ___|.._|_|.__.|.._|_ _._.|___|_.|_.|.|_._.|_|.|._. _|___ ._ ._.|.._|__|__|_.__ ._..|___|._|._.
96,PLAYERS ON THE SAME PAGE REGARDLESS OF THE SIZE OF THE INCIDENT.  WHETHER,.__.|._..|._|_.__|.|._.|... ___|_. _|....|. ...|._|__|. .__.|._|__.|. ._.|.|__.|._|._.|._.|._..|.|...|... ___|.._. _|....|. ...|..|__..|. ___|.._. _|....|. ..|_.|_._.|..|._.|.|_.|_|._._._ .__|....|.|_|....|.|._.
104,UB2JRE 2N4H NBYS8 UC3P/OH5 8RO? K4O5 HTTM9T3 JNHC/XM,.._|_...|..___|.___|._.|. ..___|_.|...._|.... _.|_...|_.__|...|___.. .._|_._.|...__|.__.|_.._.|___|....|..... ___..|._.|___|..__.. _._|...._|___|..... ....|_|_|__|____.|_|...__ .___|_.|....|_._.|_.._.|_.._|__
108,SHOPPING LIST.  IT HAS BEEN A BUSY AND DEMANDING YEAR IN TERMS OF MAJOR,...|....|___|.__.|.__.|..|_.|__. ._..|..|...|_|._._._ ..|_ ....|._|... _...|.|.|_. ._ _...|.._|...|_.__ ._|_.|._. ._.|.|__|._|_.|._.|..|_.|__. _.__|.|._|._. ..|_. _|.|._.|__|... ___|.._. __|._|.___|___|._.
112,THE 12 VOLTAGE TRANSFORMER.  THE NEED F,_|....|. .____|..___ ..._|___|._..|_|._|__.|. _|._.|._|_.|...|.._.|___|._.|__|.|._.|._._._ _|....|. _.|.|.|._. .._.
116,SGLF? .D5B0 3F9W8 29CCC JW7J2 SBOT3 4SO95 EAVJE HZUKY BURAH,...|__.|._..|.._.|..__.. ._._._|._.|.....|_...|_____ ...__|.._.|____.|.__|___.. ..___|____.|_._.|_._.|_._. .___|.__|__...|.___|..___ ...|_...|___|_|...__ ...._|...|___|____.|..... .|._|..._|.___|. ....|__..|.._|_._|_.__ _...|.._|._.|._|....
118,THE SCHEMATIC IN FIGURE 5.  I THEN ADDED A DC ISOLATING 0R01 UF CERAMIC,_|....|. ...|_._.|....|.|__|._|_|..|_._. ..|_. .._.|..|__.|.._|._.|. .....|._._._ .. _|....|.|_. ._|._.|._.|.|._. ._ ._.|_._. ..|...|___|._..|._|_|..|_.|__. _____|._.|_____|.____ .._|.._. _._.|.|._.|._|__|..|_._.
120,RIVAL THE SIGNAL QUALITY OF A MODERN TRANSCEIVER WITH THIS VFO.  FOR,._.|..|..._|._|._.. _|....|. ...|..|__.|_.|._|._.. __._|.._|._|._..|..|_|_.__ ___|.._. ._ __|___|._.|.|._.|_. _|._.|._|_.|...|_._.|.|..|..._|.|._. .__|..|_|.... _|....|..|... ..._|.._.|___|._._._ .._.|___|._.
126,CONNECTIONS GIVE YOU MORE FREEDOM WHEN MOUNTING THE CIRCUIT BOARD AND,_._.|___|_.|_.|.|_._.|_|..|___|_.|... __.|..|..._|. _.__|___|.._ __|___|._.|. .._.|._.|.|.|._.|___|__ .__|....|.|_. __|___|.._|_.|_|..|_.|__. _|....|. _._.|..|._.|_._.|.._|..|_ _...|___|._|._.|._. ._|_.|._.
131,BOSTON MARATHON FOR EXAMPLES OF CRITICAL EMERGENCIES  THE GOVERNMENT IN,_...|___|...|_|___|_. __|._|._.|._|_|....|___|_. .._.|___|._. .|_.._|._|__|.__.|._..|.|... ___|.._. _._.|._.|..|_|..|_._.|._|._.. .|__|.|._.|__.|.|_.|_._.|..|.|... _|....|. __.|___|..._|.|._.|_.|__|.|_.|_ ..|_.
134,RELATED COMPONENTS.  SYNTHESIZER OUTPUT LEVEL CRYSTAL CONTROLLED,._.|.|._..|._|_|.|._. _._.|___|__|.__.|___|_.|.|_.|_|...|._._._ ...|_.__|_.|_|....|.|...|..|__..|.|._. ___|.._|_|.__.|.._|_ ._..|.|..._|.|._.. _._.|._.|_.__|...|_|._|._.. _._.|___|_.|_|._.|___|._..|._..|.|._.
138,STRAIGHT KEY NIGHT I WANTED TO PUT MY 51 YEAR OLD EICO 729 TRANSMITTER ON,...|_|._.|._|..|__.|....|_ _._|.|_.__ _.|..|__.|....|_ .. .__|._|_.|_|.|._. _|___ .__.|.._|_ __|_.__ .....|.____ _.__|.|._|._. ___|._..|._. .|..|_._.|___ __...|..___|____. _|._.|._|_.|...|__|..|_|_|.|._. ___|_.
141,OMLM FNPBD 9FVYF 8AYNB 7FUP6 QQ8YI ?EAIU 2764P 2D7X5 SESOB,___|__|._..|__ .._.|_.|.__.|_...|._. ____.|.._.|..._|_.__|.._. ___..|._|_.__|_.|_... __...|.._.|.._|.__.|_.... __._|__._|___..|_.__|.. ..__..|.|._|..|.._ ..___|__...|_....|...._|.__. ..___|._.|__...|_.._|..... ...|.|...|___|_...
143,THIS IN THE MARCH 2010 ISSUE OF QST WHICH IS AVAILABLE FOR DOWNLOAD TO,_|....|..|... ..|_. _|....|. __|._|._.|_._.|.... ..___|_____|.____|_____ ..|...|...|.._|. ___|.._. __._|...|_ .__|....|..|_._.|.... ..|... ._|..._|._|..|._..|._|_...|._..|. .._.|___|._. ._.|___|.__|_.|._..|___|._|._. _|___
148,TWO OF MY FAVORITE CHAPTERS IN THIS BOOK ARE CHAPTERS 20 AND 22 ON THE,_|.__|___ ___|.._. __|_.__ .._.|._|..._|___|._.|..|_|. _._.|....|._|.__.|_|.|._.|... ..|_. _|....|..|... _...|___|___|_._ ._|._.|. _._.|....|._|.__.|_|.|._.|... ..___|_____ ._|_.|._. ..___|..___ ___|_. _|....|.
154,GENERATOR. VFO OVERVIEW MY EICO 723 TRANSMITTER HAS A SPECIAL INPUT FOR AN,__.|.|_.|.|._.|._|_|___|._.|._._._ ..._|.._.|___ ___|..._|.|._.|..._|..|.|.__ __|_.__ .|..|_._.|___ __...|..___|...__ _|._.|._|_.|...|__|..|_|_|.|._. ....|._|... ._ ...|.__.|.|_._.|..|._|._.. ..|_.|.__.|.._|_ .._.|___|._. ._|_.
162,DDS CIRCUIT I CHOSE THE N3ZI DDS 2 DELUXE KIT WHICH FEATURES THE STANDARD,._.|._.|... _._.|..|._.|_._.|.._|..|_ .. _._.|....|___|...|. _|....|. _.|...__|__..|.. ._.|._.|... ..___ ._.|.|._..|.._|_.._|. _._|..|_ .__|....|..|_._.|.... .._.|.|._|_|.._|._.|.|... _|....|. ...|_|._|_.|._.|._|._.|._.
164,RADIALS WITH THE GROUND LEVEL RADIALS USED HERE.  MY GROUND RADIAL SYSTEM,._.|._|._.|..|._|._..|... .__|..|_|.... _|....|. __.|._.|___|.._|_.|._. ._..|.|..._|.|._.. ._.|._|._.|..|._|._..|... .._|...|.|._. ....|.|._.|.|._._._ __|_.__ __.|._.|___|.._|_.|._. ._.|._|._.|..|._|._.. ...|_.__|...|_|.|__
166,T4RUY LFFF 3EK0I Y5IY7 UC1OQ 0R?DS ODAB/ GTHWF N714Y K1F/4,_|...._|._.|.._|_.__ ._..|.._.|.._.|.._. ...__|.|_._|_____|.. _.__|.....|..|_.__|__... .._|_._.|.____|___|__._ _____|._.|..__..|._.|... ___|._.|._|_...|_.._. __.|_|....|.__|.._. _.|__...|.____|...._|_.__ _._|.____|.._.|_.._.|...._
168,MOUNTED THREE RADIALS TO EACH OF THE FOUR GROUND POSTS ON THE ADAPTER,__|___|.._|_.|_|.|._. _|....|._.|.|. ._.|._|._.|..|._|._..|... _|___ .|._|_._.|.... ___|.._. _|....|. .._.|___|.._|._. __.|._.|___|.._|_.|._. .__.|___|...|_|... ___|_. _|....|. ._|._.|._|.__.|_|.|._.
171,YOU MUST FIRST PURCHASE AND BUILD THE SYNTHESIZER AND GET IT WORKING,_.__|___|.._ __|.._|...|_ .._.|..|._.|...|_ .__.|.._|._.|_._.|....|._|...|. ._|_.|._. _...|.._|..|._..|._. _|....|. ...|_.__|_.|_|....|.|...|..|__..|.|._. ._|_.|._. __.|.|_ ..|_ .__|___|._.|_._|..|_.|__.
173,LAID OUT ON THE GROUND I CHOSE WIRE WITH BRIGHT YELLOW INSULATION TO,._..|._|..|._. ___|.._|_ ___|_. _|....|. __.|._.|___|.._|_.|._. .. _._.|....|___|...|. .__|..|._.|. .__|..|_|.... _...|._.|..|__.|....|_ _.__|.|._..|._..|___|.__ ..|_.|...|.._|._..|._|_|..|___|_. _|___
175,RECOMMENDS 10 20 V AT THE VFO INPUT. THE SYNTHESIZER OUTPUT HOWEVER,._.|.|_._.|___|__|__|.|_.|._.|... .____|_____ ..___|_____ ..._ ._|_ _|....|. ..._|.._.|___ ..|_.|.__.|.._|_|._._._ _|....|. ...|_.__|_.|_|....|.|...|..|__..|.|._. ___|.._|_|.__.|.._|_ ....|___|.__|.|..._|.|._.
176,SLAMMING INTO THE GULF STATES OR A MAJOR EARTHQUAKE ALONG THE NEW MADRID,...|._..|._|__|__|..|_.|__. ..|_.|_|___ _|....|. __.|.._|._..|.._. ...|_|._|_|.|... ___|._. ._ __|._|.___|___|._. .|._|._.|_|....|__._|.._|._|_._|. ._|._..|___|_.|__. _|....|. _.|.|.__ __|._|._.|._.|..|._.
180,I WAS ABLE TO ATTEND THE FIRST DEPARTMENT OF HOMELAND SECURITY DHS,.. .__|._|... ._|_...|._..|. _|___ ._|_|_|.|_.|._. _|....|. .._.|..|._.|...|_ ._.|.|.__.|._|._.|_|__|.|_.|_ ___|.._. ....|___|__|.|._..|._|_.|._. ...|.|_._.|.._|._.|..|_|_.__ ._.|....|...
181,P0/YH 6JN8? L3LH. T8J68 ZT?44 HS4E4 5V4.M R5JFQ IIWA? LCHGR,.__.|_____|_.._.|_.__|.... _....|.___|_.|___..|..__.. ._..|...__|._..|....|._._._ _|___..|.___|_....|___.. __..|_|..__..|...._|...._ ....|...|...._|.|...._ .....|..._|...._|._._._|__ ._.|.....|.___|.._.|__._ ..|..|.__|._|..__.. ._..|_._.|....|__.|._.
186,TRANSFORMER SHOULD BE PLACED AS CLOSE TO THE TRANSMITTER INPUT AS POSSIBLE,_|._.|._|_.|...|.._.|___|._.|__|.|._. ...|....|___|.._|._..|._. _...|. .__.|._..|._|_._.|.|._. ._|... _._.|._..|___|...|. _|___ _|....|. _|._.|._|_.|...|__|..|_|_|.|._. ..|_.|.__.|.._|_ ._|... .__.|___|...|...|..|_...|._..|.
191,GENERATOR. VFO OVERVIEW MY EICO 727 TRANSMITTER HAS A SPECIAL INPUT FOR AN,__.|.|_.|.|._.|._|_|___|._.|._._._ ..._|.._.|___ ___|..._|.|._.|..._|..|.|.__ __|_.__ .|..|_._.|___ __...|..___|__... _|._.|._|_.|...|__|..|_|_|.|._. ....|._|... ._ ...|.__.|.|_._.|..|._|._.. ..|_.|.__.|.._|_ .._.|___|._. ._|_.
196,INCREASE ITS VISIBILITY AND HOPEFULLY REDUCE THE TRIPPING HAZARD.,..|_.|_._.|._.|.|._|...|. ..|_|... ..._|..|...|..|_...|..|._..|..|_|_.__ ._|_.|._. ....|___|.__.|.|.._.|.._|._..|._..|_.__ ._.|.|._.|.._|_._.|. _|....|. _|._.|..|.__.|.__.|..|_.|__. ....|._|__..|._|._.|._.|._._._
197,J7F0// BK2O1T 990MD9 94WWWO B6GBZ4 E23AU. CKFNJ3 QU?23E ORSYRD HIYRX2,.___|__...|.._.|_____|_.._.|_.._. _...|_._|..___|___|.____|_ ____.|____.|_____|__|._.|____. ____.|...._|.__|.__|.__|___ _...|_....|__.|_...|__..|...._ .|..___|...__|._|.._|._._._ _._.|_._|.._.|_.|.___|...__ __._|.._|..__..|..___|...__|. ___|._.|...|_.__|._.|._. ....|..|_.__|._.|_.._|..___
199,PNWVU LQRKL2 A7Y9JF 1E/5AS 7QF/VZ UCHML 5Q/8SH ETGQHT OK22G2 XXF633,.__.|_.|.__|..._|.._ ._..|__._|._.|_._|._..|..___ ._|__...|_.__|____.|.___|.._. .____|.|_.._.|.....|._|... __...|__._|.._.|_.._.|..._|__.. .._|_._.|....|__|._.. .....|__._|_.._.|___..|...|.... .|_|__.|__._|....|_ ___|_._|..___|..___|__.|..___ _.._|_.._|.._.|_....|...__|...__
